coc_id,year,cells_observed,cells_yes,crim_activity_index,engaged_policymakers_crim,engaged_law_enforce_crim,implemented_anticrim_practice
OR-506,2024,6,6,1.0,1,1,1
OR-507,2022,6,6,1.0,1,1,1
OR-507,2023,6,6,1.0,1,1,1
OR-507,2024,6,6,1.0,1,1,1
PA-500,2024,6,6,1.0,1,1,1
PA-502,2022,6,3,0.5,1,1,0
PA-502,2023,6,4,0.667,1,1,1
PA-502,2024,6,4,0.667,1,1,1
PA-504,2022,6,4,0.667,1,1,1
PA-504,2023,6,4,0.667,1,1,1
PA-504,2024,6,5,0.833,1,1,1
PA-505,2023,6,5,0.833,1,1,1
PA-505,2024,6,6,1.0,1,1,1
PA-506,2022,6,6,1.0,1,1,1
PA-506,2023,6,6,1.0,1,1,1
PA-506,2024,6,6,1.0,1,1,1
PA-508,2023,6,6,1.0,1,1,1
PA-509,2022,6,3,0.5,1,1,0
PA-509,2023,6,3,0.5,1,1,0
PA-509,2024,6,6,1.0,1,1,1
PA-510,2023,6,3,0.5,1,1,0
PA-510,2024,6,3,0.5,1,1,0
PA-511,2022,6,2,0.333,1,1,0
PA-511,2024,6,6,1.0,1,1,1
PA-512,2024,6,6,1.0,1,1,1
PA-600,2023,6,3,0.5,1,1,0
PA-600,2024,6,4,0.667,1,1,1
PA-601,2022,6,3,0.5,1,1,0
PA-601,2023,6,3,0.5,1,1,0
PA-601,2024,6,2,0.333,0,1,1
PA-603,2024,6,6,1.0,1,1,1
PA-605,2023,6,6,1.0,1,1,1
PA-605,2024,6,4,0.667,1,1,1
PR-502,2022,6,6,1.0,1,1,1
PR-502,2024,6,6,1.0,1,1,1
PR-503,2024,6,5,0.833,1,1,1
RI-500,2023,6,6,1.0,1,1,1
RI-500,2024,6,5,0.833,1,1,1
SC-500,2024,6,5,0.833,1,1,1
SC-501,2022,6,6,1.0,1,1,1
SC-501,2023,6,6,1.0,1,1,1
SC-501,2024,6,6,1.0,1,1,1
SC-503,2023,6,6,1.0,1,1,1
SC-503,2024,6,6,1.0,1,1,1
SD-500,2024,6,3,0.5,1,1,0
TN-500,2024,6,6,1.0,1,1,1
TN-501,2024,6,2,0.333,1,1,0
TN-502,2022,6,6,1.0,1,1,1
TN-502,2023,6,6,1.0,1,1,1
TN-502,2024,6,6,1.0,1,1,1
TN-504,2024,6,6,1.0,1,1,1
TN-506,2024,6,4,0.667,1,1,1
TN-507,2022,6,5,0.833,1,1,1
TN-509,2024,6,3,0.5,1,1,0
TN-510,2023,6,3,0.5,1,1,0
TN-512,2023,6,6,1.0,1,1,1
TN-512,2024,6,6,1.0,1,1,1
TX-500,2023,6,6,1.0,1,1,1
TX-500,2024,6,6,1.0,1,1,1
TX-503,2023,6,6,1.0,1,1,1
TX-503,2024,6,6,1.0,1,1,1
TX-600,2022,6,5,0.833,1,1,1
TX-600,2023,6,6,1.0,1,1,1
TX-600,2024,6,6,1.0,1,1,1
TX-603,2022,6,3,0.5,1,1,0
TX-603,2023,6,3,0.5,1,1,0
TX-603,2024,6,6,1.0,1,1,1
TX-604,2022,6,5,0.833,1,1,1
TX-604,2023,6,5,0.833,1,1,1
TX-604,2024,6,4,0.667,1,1,1
TX-607,2022,6,6,1.0,1,1,1
TX-607,2023,6,6,1.0,1,1,1
TX-607,2024,6,6,1.0,1,1,1
TX-700,2022,6,3,0.5,1,1,0
TX-700,2023,6,3,0.5,1,1,0
TX-700,2024,6,6,1.0,1,1,1
TX-701,2024,6,2,0.333,1,1,0
UT-500,2023,6,6,1.0,1,1,1
UT-500,2024,6,6,1.0,1,1,1
UT-504,2022,6,6,1.0,1,1,1
UT-504,2023,6,6,1.0,1,1,1
UT-504,2024,6,6,1.0,1,1,1
VA-500,2022,6,3,0.5,1,1,0
VA-500,2023,6,3,0.5,1,1,0
VA-501,2023,6,2,0.333,1,1,0
VA-503,2023,6,3,0.5,1,1,0
VA-503,2024,6,6,1.0,1,1,1
VA-504,2023,6,5,0.833,1,1,1
VA-505,2024,6,6,1.0,1,1,1
VA-508,2022,6,3,0.5,1,1,0
VA-508,2023,6,3,0.5,1,1,0
VA-508,2024,2,2,1.0,1,1,1
VA-513,2022,6,6,1.0,1,1,1
VA-514,2022,6,6,1.0,1,1,1
VA-514,2023,6,6,1.0,1,1,1
VA-514,2024,6,4,0.667,1,1,1
VA-521,2023,6,3,0.5,1,1,0
VA-521,2024,6,0,0.0,0,0,0
VA-600,2023,6,3,0.5,1,1,0
VA-600,2024,6,6,1.0,1,1,1
VA-601,2022,6,3,0.5,1,1,0
VA-601,2023,6,3,0.5,1,1,0
VA-601,2024,6,6,1.0,1,1,1
VA-603,2023,6,3,0.5,1,1,0
VA-603,2024,6,3,0.5,1,1,0
VA-604,2022,6,3,0.5,1,1,0
VA-604,2023,6,3,0.5,1,1,0
VI-500,2023,6,4,0.667,1,1,1
VT-500,2023,6,6,1.0,1,1,1
VT-500,2024,6,4,0.667,1,1,1
VT-501,2023,6,6,1.0,1,1,1
VT-501,2024,6,6,1.0,1,1,1
WA-500,2022,6,6,1.0,1,1,1
WA-500,2023,6,6,1.0,1,1,1
WA-500,2024,6,6,1.0,1,1,1
WA-501,2024,6,6,1.0,1,1,1
WA-502,2023,6,3,0.5,1,1,0
WA-503,2022,6,0,0.0,0,0,0
WA-503,2023,6,0,0.0,0,0,0
WA-503,2024,6,4,0.667,1,1,1
WA-504,2023,6,6,1.0,1,1,1
WA-508,2022,6,6,1.0,1,1,1
WA-508,2024,6,6,1.0,1,1,1
WI-500,2022,6,4,0.667,1,1,1
WI-500,2024,6,5,0.833,1,1,1
WI-501,2024,6,3,0.5,1,1,0
WI-502,2022,6,3,0.5,1,1,0
WI-503,2024,6,6,1.0,1,1,1
WV-500,2024,6,2,0.333,1,1,0
WV-501,2022,6,5,0.833,1,1,1
WV-501,2023,6,6,1.0,1,1,1
WV-501,2024,6,4,0.667,1,1,1
WV-503,2023,6,3,0.5,1,1,0
WV-503,2024,6,6,1.0,1,1,1
WY-500,2022,6,3,0.5,1,1,0
WY-500,2023,6,3,0.5,1,1,0
WY-500,2024,6,3,0.5,1,1,0
